Site,Plot,Date Collected,Plot Code,Insect Code,Order
1,2,06-09-2023,129,12906,Hymenoptera
1,2,06-09-2023,129,12907,Julida
1,2,06-09-2023,129,12908,Coleoptera
1,2,06-09-2023,129,12909,Coleoptera
1,2,06-09-2023,129,12910,Coleoptera
1,3,06-09-2023,139,13901,Stylommatophora
1,3,06-09-2023,139,13902,Stylommatophora
1,3,06-09-2023,139,13903,Hymenoptera
2,1,06-09-2023,219,21901,Isopoda
2,1,06-09-2023,219,21902,Isopoda
2,1,06-09-2023,219,21903,Lepidoptera
2,2,06-09-2023,229,22901,Julida
2,2,06-09-2023,229,22902,Hymenoptera
2,2,06-09-2023,229,22903,Hymenoptera
2,2,06-09-2023,229,22904,Diptera
2,3,06-09-2023,239,23901,Julida
2,3,06-09-2023,239,23902,Julida
2,3,06-09-2023,239,23903,Julida
2,3,06-09-2023,239,23904,Julida
2,3,06-09-2023,239,23905,Araneae
2,3,06-09-2023,239,23906,Araneae
2,3,06-09-2023,239,23907,Isopoda
2,3,06-09-2023,239,23908,Isopoda
2,3,06-09-2023,239,23909,Hymenoptera
2,3,06-09-2023,239,23910,Coleoptera
2,3,06-09-2023,239,23911,Coleoptera
2,3,06-09-2023,239,23912,Coleoptera
2,3,06-09-2023,239,23913,Coleoptera
2,1,06-10-2023,211,21101,NA
2,2,06-10-2023,221,22101,Stylommatophora
2,2,06-10-2023,221,22102,Isopoda
2,2,06-10-2023,221,22103,Julida
2,2,06-10-2023,221,22104,Julida
2,2,06-10-2023,221,22105,Diptera
2,2,06-10-2023,221,22106,Hymenoptera
2,2,06-10-2023,221,22107,Coleoptera
2,3,06-10-2023,231,23101,Julida
2,3,06-10-2023,231,23102,Stylommatophora
